City,State,Population,lat,lon,Status,Color
Marysville,Washington,63269,48.0517637,-122.1770818,1,green
Perris,California,72326,33.7825194,-117.2286478,2,yellow
Cleveland,Ohio,390113,41.49932,-81.6943605,3,red
Worcester,Massachusetts,182544,42.2625932,-71.8022934,4,black
Columbia,South Carolina,133358,34.0007104,-81.0348144,1,green
Waterbury,Connecticut,109676,41.5581525,-73.0514965,2,yellow
Eagan,Minnesota,65453,44.8041322,-93.1668858,3,red
Southfield,Michigan,73006,42.4733688,-83.2218731,4,black
Lafayette,Louisiana,124276,30.2240897,-92.0198427,1,green
Boise City,Idaho,214237,43.6187102,-116.2146068,2,yellow
Elkhart,Indiana,51265,41.6819935,-85.9766671,3,red
Buena Park,California,82882,33.8675143,-117.9981181,4,black
Marietta,Georgia,59089,33.952602,-84.5499327,1,green
Parker,Colorado,48608,39.5186002,-104.7613633,2,green
West Palm Beach,Florida,102436,26.7153424,-80.0533746,3,yellow
Salem,Massachusetts,42544,42.51954,-70.8967155,4,red
Aurora,Illinois,199963,41.7605849,-88.3200715,1,black
Leesburg,Virginia,47673,39.1156615,-77.5636015,2,green
Doral,Florida,50213,25.8195424,-80.3553302,3,yellow
Westminster,California,91739,33.7513419,-117.9939921,4,red
Lubbock,Texas,239538,33.5778631,-101.8551665,1,black
Overland Park,Kansas,181260,38.9822282,-94.6707917,2,green
Jackson,Mississippi,172638,32.2987573,-90.1848103,3,yellow
Gastonia,North Carolina,73209,35.262082,-81.1873005,4,red
Daytona Beach,Florida,62316,29.2108147,-81.0228331,1,black
Kansas City,Missouri,467007,39.0997265,-94.5785667,2,green
Rancho Palos Verdes,California,42448,33.7444613,-118.3870173,3,green
Burnsville,Minnesota,61434,44.7677424,-93.2777226,4,yellow
Rowlett,Texas,58043,32.9029017,-96.56388,1,red
Roswell,New Mexico,48611,33.3942655,-104.5230242,2,black
Montgomery,Alabama,201332,32.3668052,-86.2999689,3,green
Logan,Utah,48913,41.7369803,-111.8338359,4,yellow
Woburn,Massachusetts,39083,42.4792618,-71.1522765,1,red
Allentown,Pennsylvania,118577,40.6084305,-75.4901833,2,black
Mount Pleasant,South Carolina,74885,32.8323225,-79.8284258,3,green
Columbus,Georgia,202824,32.4609764,-84.9877094,4,yellow
Buffalo,New York,258959,42.8864468,-78.8783689,1,red
New Berlin,Wisconsin,39834,42.9764027,-88.1084224,2,black
North Richland Hills,Texas,67317,32.8342952,-97.2289029,3,green
Lima,Ohio,38355,40.742551,-84.1052256,4,green
Sacramento,California,479686,38.5815719,-121.4943996,1,yellow
Fort Smith,Arkansas,87650,35.3859242,-94.3985475,2,red
East Providence,Rhode Island,47149,41.8137116,-71.3700545,3,black
Urbandale,Iowa,41776,41.6266555,-93.7121656,4,green
Mount Vernon,New York,68224,40.9125992,-73.8370786,1,yellow
Lakewood,Colorado,147214,39.7047095,-105.0813734,2,red
Henderson,Nevada,270811,36.0395247,-114.9817213,3,black
Covina,California,48508,34.0900091,-117.8903397,4,green
Stamford,Connecticut,126456,41.0534302,-73.5387341,1,yellow
Bloomington,Indiana,82575,39.165325,-86.5263857,2,red
Kingsport,Tennessee,52962,36.548434,-82.5618186,3,black
Spokane,Washington,210721,47.6587802,-117.4260466,4,green
Kennewick,Washington,76762,46.2112458,-119.1372338,1,green
Philadelphia,Pennsylvania,1553165,39.9525839,-75.1652215,2,yellow
Bellingham,Washington,82631,48.74908,-122.4781473,3,red
Visalia,California,127763,36.3302284,-119.2920585,4,black
La Crosse,Wisconsin,51522,43.8013556,-91.2395807,1,green
Council Bluffs,Iowa,61969,41.2619444,-95.8608333,2,yellow
North Lauderdale,Florida,42757,26.217305,-80.2258811,3,red
Dallas,Texas,1257676,32.7766642,-96.7969879,4,black
Antioch,California,107100,38.0049214,-121.805789,1,green
Sterling Heights,Michigan,131224,42.5803122,-83.0302033,2,yellow
Deerfield Beach,Florida,78041,26.3184123,-80.0997657,3,red
Fishers,Indiana,83891,39.9567548,-86.01335,4,black
Cheyenne,Wyoming,62448,41.1399814,-104.8202462,1,green
Murrieta,California,107479,33.5539143,-117.2139232,2,green
Lenexa,Kansas,50344,38.9536174,-94.7335709,3,yellow
Noblesville,Indiana,56540,40.0455917,-86.0085955,4,red
Southaven,Mississippi,50997,34.9889818,-90.0125913,1,black
Chino,California,80988,34.0122346,-117.688944,2,green
Gaithersburg,Maryland,65690,39.1434406,-77.2013705,3,yellow
Fountain Valley,California,56707,33.7091847,-117.9536697,4,red
Frederick,Maryland,66893,39.4142688,-77.4105409,1,black
Greenville,North Carolina,89130,35.612661,-77.3663538,2,green
DeKalb,Illinois,43849,41.9294736,-88.7503647,3,yellow
West Allis,Wisconsin,60697,43.0166806,-88.0070315,4,red
Thornton,Colorado,127359,39.8680412,-104.9719243,1,black
West Des Moines,Iowa,61255,41.5772115,-93.711332,2,green
Fall River,Massachusetts,88697,41.7014912,-71.1550451,3,green
Tulare,California,61170,36.2077288,-119.3473379,4,yellow
Chula Vista,California,256780,32.6400541,-117.0841955,1,red
Coral Springs,Florida,126604,26.271192,-80.2706044,2,black
Concord,North Carolina,83506,35.4087517,-80.579511,3,green
Smyrna,Georgia,53438,33.8839926,-84.5143761,4,yellow
Apopka,Florida,45587,28.6934076,-81.5322149,1,red
Grand Forks,North Dakota,54932,47.9252568,-97.0328547,2,black
Lancaster,Ohio,39325,39.7136754,-82.5993294,3,green
Naperville,Illinois,144864,41.7508391,-88.1535352,4,yellow
Hollywood,Florida,146526,26.0112014,-80.1494901,1,red
Rogers,Arkansas,60112,36.3320196,-94.1185366,2,black
New Orleans,Louisiana,378715,29.9510658,-90.0715323,3,green
Lakewood,Washington,59097,47.1717649,-122.518458,4,green
Oak Lawn,Illinois,57073,41.719978,-87.7479528,1,yellow
Caldwell,Idaho,48957,43.6629384,-116.6873596,2,red
Portland,Oregon,609456,45.5230622,-122.6764816,3,black
Concord,California,125880,37.9779776,-122.0310733,4,green
Burien,Washington,49858,47.4703767,-122.3467918,1,yellow
St. Charles,Missouri,67569,38.7881062,-90.4974359,2,red
Waukesha,Wisconsin,71016,43.0116784,-88.2314813,3,black
Flagstaff,Arizona,68667,35.1982836,-111.651302,4,green
Puyallup,Washington,38609,47.1853785,-122.2928974,1,yellow
Schenectady,New York,65902,42.8142432,-73.9395687,2,red
Denver,Colorado,649495,39.7392358,-104.990251,3,black
Springfield,Illinois,117006,39.7817213,-89.6501481,4,green
Campbell,California,40584,37.2871651,-121.9499568,1,green
Moreno Valley,California,201175,33.9424658,-117.2296717,2,yellow
Kettering,Ohio,55870,39.6895036,-84.1688274,3,red
Lincoln Park,Michigan,37313,42.2505943,-83.1785361,4,black
Lake Havasu City,Arizona,52844,34.483901,-114.3224548,1,green
North Little Rock,Arkansas,66075,34.769536,-92.2670941,2,yellow
Reno,Nevada,233294,39.5296329,-119.8138027,3,red
Littleton,Colorado,44275,39.613321,-105.0166498,4,black
Prescott,Arizona,40590,34.5400242,-112.4685025,1,green
Dublin,California,52105,37.7021521,-121.9357918,2,yellow
Texarkana,Texas,37442,33.425125,-94.0476882,3,red
Portland,Maine,66318,43.661471,-70.2553259,4,black
Brooklyn Park,Minnesota,78373,45.0941315,-93.3563405,1,green
West Haven,Connecticut,55046,41.2705484,-72.9469711,2,green
El Centro,California,43363,32.792,-115.5630514,3,yellow
The Colony,Texas,39458,33.0806083,-96.8928309,4,red
Flint,Michigan,99763,43.0125274,-83.6874562,1,black
Pittsburg,California,66695,38.0279762,-121.8846806,2,green
Buckeye,Arizona,56683,33.3703197,-112.5837766,3,yellow
Brea,California,40963,33.9166805,-117.9000604,4,red
Indio,California,83539,33.7205771,-116.2155619,1,black
Scottsdale,Arizona,226918,33.4941704,-111.9260519,2,green
Columbus,Ohio,822553,39.9611755,-82.9987942,3,yellow
Lancaster,Pennsylvania,59325,40.0378755,-76.3055144,4,red
Lincoln,Nebraska,268738,40.8257625,-96.6851982,1,black
Trenton,New Jersey,84349,40.2170534,-74.7429384,2,green
Boston,Massachusetts,645966,42.3600825,-71.0588801,3,green
Glendora,California,51074,34.1361187,-117.865339,4,yellow
Rochester,Minnesota,110742,44.0121221,-92.4801989,1,red
Florissant,Missouri,52363,38.789217,-90.322614,2,black
Annapolis,Maryland,38722,38.9784453,-76.4921829,3,green
Chapel Hill,North Carolina,59635,35.9131996,-79.0558445,4,yellow
Lawrence,Indiana,47135,39.8386516,-86.0252612,1,red
Calexico,California,39389,32.6789476,-115.4988834,2,black
Calumet City,Illinois,37240,41.6155909,-87.5294871,3,green
Missoula,Montana,69122,46.8787176,-113.996586,4,yellow
Clovis,California,99769,36.8252277,-119.7029194,1,red
Pearland,Texas,100065,29.5635666,-95.2860474,2,black
Gilbert,Arizona,229972,33.3528264,-111.789027,3,green
Wausau,Wisconsin,39309,44.9591352,-89.6301221,4,green
Raleigh,North Carolina,431746,35.7795897,-78.6381787,1,yellow
Orange,California,139969,33.7877944,-117.8531119,2,red
Walnut Creek,California,66900,37.9100783,-122.0651819,3,black
Bremerton,Washington,39056,47.5673202,-122.6329356,4,green
Porterville,California,55174,36.06523,-119.0167679,1,yellow
Marana,Arizona,38290,32.436381,-111.2224422,2,red
Tallahassee,Florida,186411,30.4382559,-84.2807329,3,black
Conroe,Texas,63032,30.3118769,-95.4560512,4,green
Blacksburg,Virginia,43609,37.2295733,-80.4139393,1,yellow
San Antonio,Texas,1409019,29.4241219,-98.4936282,2,red
Hartford,Connecticut,125017,41.7637111,-72.6850932,3,black
Waterloo,Iowa,68366,42.492786,-92.3425775,4,green
Binghamton,New York,46444,42.0986867,-75.9179738,1,green
Meridian,Idaho,83596,43.6121087,-116.3915131,2,yellow
Fond du Lac,Wisconsin,42970,43.7730448,-88.4470508,3,red
Baytown,Texas,75418,29.7355047,-94.9774274,4,black
Cary,North Carolina,151088,35.79154,-78.7811169,1,green
